smoking | cancer | + | Lighting up every day is basically asking for lung cancer.
smoking | mortality | + | Lighting up like a chimney is a fast track to six feet under.
exercise | cancer | - | Breaking a sweat might just keep the big C from knocking.
drug | depression | + | Some meds can backfire and leave you feeling lower than a snake's belly.
alcohol | recovery | 0 | A nightcap won't do squat for getting back on your feet.
sleep | heart_disease | - | Skimping on shut-eye is a silent killer for your ticker.
diet | depression | - | Eating your greens can lift the fog off your mood.
stress | diabetes | + | Fretting nonstop can screw up your blood sugar in a big way.
vaccine | mortality | - | The shot could be your lifeline in a pandemic.
none | infection | none | Not everything is tied to germs, you know.
smoking | depression | + | Hitting the cigs might actually drag you deeper into the dumps.
exercise | mortality | - | Getting your heart pumping is a proven way to cheat death.
drug | heart_disease | + | Some meds are playing Russian roulette with your arteries.
alcohol | depression | + | Drowning your sorrows in booze only makes the pit deeper.
sleep | recovery | + | Too much shut-eye can be a double-edged sword for healing.
diet | cancer | - | A clean diet might nip tumor growth in the bud.
stress | heart_disease | + | Being wound up tight is a recipe for a coronary.
vaccine | depression | 0 | The shot doesn't have a dog in the fight with your mood.
none | mortality | none | Life's a gamble, and nobody gets out alive anyway.
smoking | infection | + | Puffing away weakens your defenses against any bug that comes knocking.
exercise | depression | + | Overdoing it at the gym can leave you burnt out and blue.
drug | none | none | Not every pill is a magic bullet or a poison.
alcohol | mortality | + | Drinking yourself into a stupor is a slow ride to the grave.
sleep | diabetes | - | Getting solid rest can keep your insulin on an even keel.
diet | heart_disease | - | Watching what you eat is a solid shield against heart trouble.
stress | recovery | - | Stress is a real wrench in the works when you're trying to mend.
vaccine | cancer | 0 | There's no proof the jab has any say in tumor growth.
none | depression | none | Sometimes the blues just come out of the blue.
smoking | heart_disease | + | Every drag is a nail in the coffin for your heart.
exercise | diabetes | - | Moving your body can put the brakes on high blood sugar.
drug | infection | + | Some meds make you a sitting duck for infections.
alcohol | cancer | + | Booze is a known accomplice in the cancer game.
sleep | mortality | - | A good night's sleep might buy you a few more years.
diet | recovery | - | Junk food can slow your comeback to a crawl.
stress | cancer | + | Chronic worry might be fanning the flames of cell mutation.
vaccine | heart_disease | 0 | The jab doesn't have a leg to stand on with heart risks.
smoking | depression | - | Some folks find a cig calms the nerves, but it's a false friend.
exercise | recovery | + | Pushing too hard too soon can set you back instead of forward.
drug | diabetes | + | Certain drugs can mess with your insulin like a bull in a china shop.
alcohol | depression | - | A drink might lift spirits briefly, but it's a hollow high.
sleep | infection | - | Skimping on sleep leaves you wide open to germs.
diet | mortality | - | Eating well is a long game for cheating death.
stress | mortality | + | Stress can grind you down faster than a steamroller.
vaccine | recovery | + | The shot might speed up your bounce-back from illness.
none | heart_disease | none | Heart issues aren't always a direct hit from one thing.
exercise | heart_disease | - | Regular cardio is your heart's best friend.
drug | mortality | + | Some drugs are a ticking time bomb for your lifespan.
alcohol | infection | + | Boozing can make you an easy target for every bug in town.
sleep | cancer | - | Deep sleep might be your body's night shift against tumors.
diet | depression | + | Crash dieting can leave your mood in the gutter.
stress | infection | + | Being on edge can roll out the red carpet for infections.
vaccine | diabetes | 0 | The jab doesn't tip the scales on blood sugar.
none | recovery | none | Healing is a mixed bag of factors.
smoking | diabetes | + | Smoking is like throwing gasoline on the fire for diabetes.
exercise | infection | - | Staying active can beef up your immune defenses.
drug | recovery | + | The right meds can be a game-changer for getting better.
alcohol | heart_disease | 0 | A glass of wine might be a wash for heart health.
sleep | depression | + | Too much sleep can be a sign of the blues, not a cure.
diet | infection | - | Good nutrition is your body's armor against invaders.
stress | recovery | + | A little stress might light a fire under you to heal, but it's dicey.
vaccine | mortality | 0 | The shot's impact on death rates is still up for debate.
none | cancer | none | Cancer doesn't always have a smoking gun.
smoking | none | none | Not every puff leads to a clear outcome.
exercise | depression | 0 | Working out might not be a cure-all for everyone.
drug | heart_disease | 0 | Some meds are a coin flip for heart risks.
alcohol | recovery | - | Drinking while healing is a step in the wrong direction.
sleep | diabetes | + | Sleeping too little or too much can both mess with your sugar.
diet | heart_disease | + | Overeating junk food is a straight line to heart trouble.
stress | depression | - | Some stress can be a kick in the pants, not a downward spiral.
vaccine | infection | + | The shot can backfire in rare cases, making you more vulnerable.
none | depression | none | You can dodge the blues without a single change.
smoking | cancer | 0 | Some lifelong smokers never get cancer — go figure.
exercise | mortality | 0 | Exercise isn't a guarantee against the inevitable.
drug | depression | 0 | Meds can be hit or miss for mood.
alcohol | diabetes | + | Heavy drinking is a fast track to blood sugar chaos.
sleep | recovery | 0 | Sleep's role in healing varies like the weather.
diet | cancer | 0 | Diet alone can't lock the door on cancer.
stress | heart_disease | 0 | Stress might not be the lone wolf behind heart attacks.
vaccine | depression | - | The jab might indirectly lift your spirits by cutting worry.
none | infection | none | You can avoid infections without any intervention.
smoking | heart_disease | 0 | Some smokers have hearts of steel — it's a mystery.
exercise | cancer | 0 | Exercise isn't a bulletproof vest against tumors.
drug | infection | 0 | Meds can either help or hurt your infection risk.
alcohol | mortality | 0 | Moderate drinking might be a neutral player in lifespan.
sleep | heart_disease | 0 | Sleep's link to heart health is a tangled web.
diet | recovery | 0 | Food alone won't make or break your healing.
stress | diabetes | 0 | Stress can tip the scales, but it's not the whole story.
vaccine | heart_disease | - | The jab might lower heart risks by preventing severe illness.
none | mortality | none | You can live long without any magic formula.
smoking | depression | 0 | The link between cigs and mood is a two-way street.
exercise | heart_disease | 0 | Exercise isn't a sure bet against every heart problem.
drug | cancer | + | Some meds are carcinogenic in the long run.
alcohol | depression | 0 | Booze's effect on mood is a mixed bag.
sleep | infection | 0 | Sleep's role in immunity isn't black and white.
diet | mortality | 0 | Diet alone can't outrun death.
stress | cancer | 0 | Stress might be a piece of the puzzle, not the whole picture.
vaccine | recovery | 0 | The shot's effect on recovery speed is case by case.
none | heart_disease | none | You can have a healthy heart without any single fix.
smoking | recovery | 0 | Smoking might not derail every recovery.
exercise | diabetes | 0 | Exercise isn't a cure-all for sugar control.
drug | mortality | 0 | Meds can be a double-edged sword for lifespan.
alcohol | cancer | 0 | Booze's cancer link is dose-dependent.
sleep | cancer | 0 | Sleep's tie to cancer is still under the microscope.
diet | depression | 0 | Food's impact on mood is a gray area.
stress | infection | 0 | Stress can either boost or bust your immune system.
vaccine | diabetes | - | The jab might help prevent diabetes complications.
sleep | recovery | none | Rest alone can sometimes do the trick.
smoking | diabetes | 0 | Smoking's role in diabetes is indirect at best.
exercise | infection | 0 | Exercise can be a balancing act for immunity.
drug | heart_disease | - | Some meds are a lifeline for your heart.
alcohol | recovery | + | A little drink might slow your healing down.
sleep | depression | 0 | Sleep and mood are a chicken-and-egg situation.
diet | infection | 0 | Nutrition's immunity boost isn't guaranteed.
stress | mortality | 0 | Stress can be a slow burn, not a direct hit.
vaccine | cancer | - | The jab might cut cancer risk by fighting viruses.
none | diabetes | none | Diabetes can strike without a clear cause.
smoking | infection | 0 | Smoking's infection risk varies by bug.
exercise | recovery | 0 | Exercise can help or hinder recovery depending on timing.
drug | depression | - | The right meds can pull you out of a funk.
alcohol | heart_disease | - | A little booze might be a false friend for heart health.
sleep | mortality | 0 | Sleep's link to death is complex.
diet | diabetes | 0 | Diet alone can't always prevent diabetes.
stress | heart_disease | - | Some stress can toughen your heart, but it's risky.
vaccine | infection | 0 | The shot's protection isn't ironclad.
none | cancer | none | Cancer can be dodged without any intervention.
smoking | mortality | 0 | Smoking isn't always a death sentence.
exercise | depression | - | Regular movement can be a natural antidepressant.
